local_authority,plan_name,plan_type,stage,plan_outcome,doc_title,doc_date,doc_url
Kilkenny,Kilkenny City and County Development Plan 2021-2027 (Variation No. 5),variation,opr_proposed_draft,minister_declined,OPR Proposed draft Direction Variation No. 5 Kilkenny CDP 2021-2027,2026-03,https://www.opr.ie/wp-content/uploads/2026/03/1-OPR-Proposed-draft-Direction-Variation-5-Kilkenny-CDP-2021-2027.pdf
Kilkenny,Kilkenny City and County Development Plan 2021-2027 (Variation No. 5),variation,minister_declined,minister_declined,Minister’s Decision not to issue draft Direction Variation 5 Kilkenny CDP 2021-2027,2026-04,https://www.opr.ie/wp-content/uploads/2026/04/2-Ministers-Decision-not-to-issue-draft-Direction-Variation-5-Kilkenny-CDP-2021-2027.pdf
Kilkenny,Kilkenny City and County Development Plan 2021-2027 (Variation No. 5),variation,statement_of_reasons,minister_declined,Minister’s Statement of Reasons draft Direction Variation 5 to Kilkenny CDP 2021-2027,2026-04,https://www.opr.ie/wp-content/uploads/2026/04/3-Ministers-Statement-of-Reasons-draft-Direction-Variation-5-Kilkenny-CDP-2021-2027.pdf
Laois,Laois County Development Plan 2021-2027,development_plan,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Laois CDP 2021-2027,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/1-OPR-Proposed-draft-Direction-Laois-CDP-2021-2027.pdf
Laois,Laois County Development Plan 2021-2027,development_plan,minister_draft_direction,direction_issued,Minister’s draft Direction Laois CDP 2021-2027,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/2-Ministers-draft-Direction-Laois-CDP-2021-2027.pdf
Laois,Laois County Development Plan 2021-2027,development_plan,opr_proposed_final,direction_issued,OPR Proposed Direction Laois CDP 2021-2027,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/3-OPR-Proposed-Direction-Laois-CDP-2021-2027.pdf
Laois,Laois County Development Plan 2021-2027,development_plan,minister_final_direction,direction_issued,Minister’s Direction Laois CDP 2021-2027,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/4-Ministers-Direction-Laois-CDP-2021-2027.pdf
Laois,Laois County Development Plan 2021-2027,development_plan,statement_of_reasons,direction_issued,Minister’s Statement on Direction Laois CDP 2021-2027,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/5-Ministers-Statement-on-Direction-Laois-CDP-2021-2027.pdf
Limerick,Limerick Development Plan 2022-2028,development_plan,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Limerick CDP 2022-2028,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/1-OPR-Proposed-draft-Direction-Limerick-CDP-2022-2028.pdf
Limerick,Limerick Development Plan 2022-2028,development_plan,minister_draft_direction,direction_issued,Minister’s d,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/2-Ministers-draft-Direction-Limerick-CDP-2022-2028.pdf
Limerick,Limerick Development Plan 2022-2028,development_plan,minister_draft_direction,direction_issued,raft Direction Limerick CDP 2022-2028,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/2-Ministers-draft-Direction-Limerick-CDP-2022-2028.pdf
Limerick,Limerick Development Plan 2022-2028,development_plan,opr_proposed_final,direction_issued,OPR Proposed Direction Limerick CDP 2022-2028,2022-12,https://www.opr.ie/wp-content/uploads/2022/12/3-OPR-Proposed-Direction-Limerick-CDP-2022-2028.pdf
Limerick,Limerick Development Plan 2022-2028,development_plan,minister_final_direction,direction_issued,Minister’s Direction Limerick CDP 2022-2028,2022-12,https://www.opr.ie/wp-content/uploads/2022/12/4-Ministers-Direction-Limerick-CDP-2022-2028.pdf
Mayo,Ballina Local Area Plan 2024-2030,local_area_plan,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Ballina LAP 2024-2030,2024-10,https://www.opr.ie/wp-content/uploads/2024/10/OPR-Proposed-draft-Direction-Ballina-LAP-2024-2030.pdf
Mayo,Ballina Local Area Plan 2024-2030,local_area_plan,minister_draft_direction,direction_issued,Minister’s draft Direction Ballina LAP 2024-2030,2024-11,https://www.opr.ie/wp-content/uploads/2024/11/2-Ministers-draft-Direction-Ballina-LAP-2024-2030.pdf
Mayo,Ballina Local Area Plan 2024-2030,local_area_plan,opr_proposed_final,direction_issued,OPR Proposed Direction Ballina LAP 2024-2030,2025-02,https://www.opr.ie/wp-content/uploads/2025/02/1-OPR-Proposed-Direction-Ballina-LAP-2024-2030.pdf
Mayo,Ballina Local Area Plan 2024-2030,local_area_plan,minister_final_direction,direction_issued,Minister’s Direction Ballina LAP 2024-2030,2025-02,https://www.opr.ie/wp-content/uploads/2025/02/2-Ministers-Direction-Ballina-LAP-2024-2030.pdf
Mayo,Ballina Local Area Plan 2024-2030,local_area_plan,statement_of_reasons,direction_issued,Minister’s Statement of Reasons Ballina LAP 2024-2030,2025-02,https://www.opr.ie/wp-content/uploads/2025/02/3-Ministers-Statement-of-Reasons-Ballina-LAP-2024-2030.pdf
Mayo,Castlebar Town and Environs Local Area Plan 2023-2029,local_area_plan,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Castlebar Town and Environs LAP 2023-2029,2024-01,https://www.opr.ie/wp-content/uploads/2024/01/1-OPR-Proposed-draft-Direction-Castlebar-Town-LAP-2023-2029.pdf
Mayo,Castlebar Town and Environs Local Area Plan 2023-2029,local_area_plan,minister_draft_direction,direction_issued,Minister’s draft Direction Castlebar Town and Environs LAP 2023-2029,2024-01,https://www.opr.ie/wp-content/uploads/2024/01/2.-Ministers-Draft-Direction-Castlebar-Town-and-Environs-LAP-2023-2029.pdf
Mayo,Castlebar Town and Environs Local Area Plan 2023-2029,local_area_plan,opr_proposed_final,direction_issued,OPR Proposed Direction Castlebar LAP 2023-2029,2024-05,https://www.opr.ie/wp-content/uploads/2024/05/1-OPR-Proposed-Direction-Castlebar-LAP-2023-2029.pdf
Mayo,Castlebar Town and Environs Local Area Plan 2023-2029,local_area_plan,minister_final_direction,direction_issued,Minister’s Direction Castlebar LAP 2023-2029,2024-05,https://www.opr.ie/wp-content/uploads/2024/05/2-Ministers-Direction-Castlebar-LAP-2023-2029.pdf
Mayo,Mayo County Development Plan 2022-2028,development_plan,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Mayo CDP 2022-2028,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/1-OPR-Proposed-draft-Direction-Mayo-CDP-2022-2028.pdf
Mayo,Mayo County Development Plan 2022-2028,development_plan,minister_draft_direction,direction_issued,Minister’s draft Direction Mayo CDP 2022-2028,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/2-Ministers-draft-Direction-Mayo-CDP-2022-2028.pdf
Mayo,Mayo County Development Plan 2022-2028,development_plan,opr_proposed_final,direction_issued,OPR Proposed Direction Mayo CDP 2022-2028,2022-12,https://www.opr.ie/wp-content/uploads/2022/12/3-OPR-Proposed-Direction-Mayo-CDP-2022-202.pdf
Mayo,Mayo County Development Plan 2022-2028,development_plan,minister_final_direction,direction_issued,Minister’s Direction Mayo CDP 2022-2028,2022-12,https://www.opr.ie/wp-content/uploads/2022/12/4-Ministers-Direction-Mayo-CDP-2022-2028.pdf
Mayo,Westport Local Area Plan 2024-2030,local_area_plan,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Westport LAP 2024-2030,2024-06,https://www.opr.ie/wp-content/uploads/2024/06/1-OPR-Proposed-draft-Direction-Westport-LAP-2024-2030.pdf
Mayo,Westport Local Area Plan 2024-2030,local_area_plan,minister_draft_direction,direction_issued,Minister’s Draft Direction Westport LAP 2024-2030,2024-07,https://www.opr.ie/wp-content/uploads/2024/07/Ministers-Draft-Direction-Westport-LAP-2024-2030.pdf
Mayo,Westport Local Area Plan 2024-2030,local_area_plan,statement_of_reasons,direction_issued,Minister’s Statement of Reasons draft Direction Westport LAP 2024-2030,2024-08,https://www.opr.ie/wp-content/uploads/2024/08/Ministers-Statement-of-Reasons-Westport-LAP-2024-2030.pdf
Mayo,Westport Local Area Plan 2024-2030,local_area_plan,opr_proposed_final,direction_issued,OPR’s Proposed Direction Westport LAP 2024-2030,2024-11,https://www.opr.ie/wp-content/uploads/2024/11/1-OPRs-Proposed-Direction-Westport-LAP-2024-2030.pdf
Mayo,Westport Local Area Plan 2024-2030,local_area_plan,minister_final_direction,direction_issued,Minister’s Direction Westport LAP 2024-2030,2024-11,https://www.opr.ie/wp-content/uploads/2024/11/2-Ministers-Direction-Westport-LAP-2024-2030.pdf
Mayo,Westport Local Area Plan 2024-2030,local_area_plan,statement_of_reasons,direction_issued,Minister’s Statement of Reasons Direction Westport LAP 2024-2030,2024-11,https://www.opr.ie/wp-content/uploads/2024/11/Ministers-Statement-of-Reasons-Westport-LAP-2024-2030.pdf
Meath,Meath County Development Plan 2021-2027,development_plan,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Meath CDP 2021-2027,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/1-OPR-Proposed-draft-Direction-Meath-CDP-2021-2027.pdf
Meath,Meath County Development Plan 2021-2027,development_plan,minister_draft_direction,direction_issued,Minister’s draft Direction Meath CDP 2021-2027,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/2-Ministers-draft-Direction-Meath-CDP-2021-2027.pdf
Meath,Meath County Development Plan 2021-2027,development_plan,opr_proposed_final,direction_issued,OPR Proposed Direction Meath CDP 2021-2027,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/3-OPR-Proposed-Direction-Meath-CDP-2021-2027.pdf
Meath,Meath County Development Plan 2021-2027,development_plan,minister_final_direction,direction_issued,Minister’s Direction Meath CDP 2021-2027,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/4-Ministers-Direction-Meath-CDP-2021-2027.pdf
Monaghan,Monaghan County Development Plan 2025-2031,development_plan,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Monaghan CDP 2025-2031,2025-07,https://www.opr.ie/wp-content/uploads/2025/07/1-OPR-Proposed-draft-Direction-Monaghan-County-Development-Plan-2025-2031.pdf
Monaghan,Monaghan County Development Plan 2025-2031,development_plan,minister_draft_direction,direction_issued,Minister’s draft Direction Monaghan CDP 2025-2031,2025-09,https://www.opr.ie/wp-content/uploads/2025/09/2-Ministers-draft-Direction-Monaghan-County-Development-Plan-2025-2031.pdf
Monaghan,Monaghan County Development Plan 2025-2031,development_plan,opr_proposed_final,direction_issued,OPR Proposed Direction Monaghan CDP 2025-2031,2025-10,https://www.opr.ie/wp-content/uploads/2025/10/1-OPR-Proposed-Direction-Monaghan-CDP-2025-2031.pdf
Monaghan,Monaghan County Development Plan 2025-2031,development_plan,minister_final_direction,direction_issued,Minister’s Direction Monaghan CDP 2025-2031,2025-10,https://www.opr.ie/wp-content/uploads/2025/10/2-Ministers-Direction-Monaghan-CDP-2025-2031.pdf
Roscommon,Roscommon Town Local Area Plan 2024-2030,local_area_plan,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Roscommon LAP 2024-2030,2024-08,https://www.opr.ie/wp-content/uploads/2024/08/OPR-Proposed-draft-Direction-Roscommon-LAP-2025-2031.pdf
Roscommon,Roscommon Town Local Area Plan 2024-2030,local_area_plan,minister_draft_direction,direction_issued,Minister’s draft Direction Roscommon LAP 2024-2030,2024-09,https://www.opr.ie/wp-content/uploads/2024/09/2-Ministers-draft-Direction-Roscommon-LAP-2024-2030.pdf
Roscommon,Roscommon Town Local Area Plan 2024-2030,local_area_plan,opr_proposed_final,direction_issued,OPR Proposed Direction Roscommon Town LAP 2024-2030,2025-01,https://www.opr.ie/wp-content/uploads/2025/01/OPR-Proposed-Direction-Roscommon-Town-LAP-2024-2030.pdf
Roscommon,Roscommon Town Local Area Plan 2024-2030,local_area_plan,minister_final_direction,direction_issued,Minister’s Direction Roscommon Town LAP 2024-2030,2025-01,https://www.opr.ie/wp-content/uploads/2025/01/Ministers-Direction-Roscommon-Town-LAP-2024-2030.pdf
Sligo,Sligo County Development Plan 2024-2030,development_plan,opr_proposed_draft,minister_declined,OPR Proposed draft Direction Sligo CDP 2024-2030,2024-11,https://www.opr.ie/wp-content/uploads/2024/11/1-OPR-Proposed-draft-Direction-Sligo-CDP-2024-2030.pdf
Sligo,Sligo County Development Plan 2024-2030,development_plan,minister_draft_direction,minister_declined,Minister’s draft Direction Sligo CDP 2024-2030,2024-11,https://www.opr.ie/wp-content/uploads/2024/11/2-Ministers-draft-Direction-Sligo-CDP-2024-2030-1.pdf
Sligo,Sligo County Development Plan 2024-2030,development_plan,statement_of_reasons,minister_declined,Minister’s Statement of Reasons draft Direction Sligo CDP 2024-2030,2024-11,https://www.opr.ie/wp-content/uploads/2024/11/3-Ministers-Statement-of-Reasons-draft-Direction-Sligo-CDP-2024-2030.pdf
Sligo,Sligo County Development Plan 2024-2030,development_plan,opr_proposed_final,minister_declined,OPR Proposed Direction Sligo CDP 2024-2030,2025-02,https://www.opr.ie/wp-content/uploads/2025/02/1-OPR-Proposed-Direction-Sligo-CDP-2024-2030.pdf
Sligo,Sligo County Development Plan 2024-2030,development_plan,minister_declined,minister_declined,Minister’s decision not to agree with recommendation to issue direction (six parts) Sligo CDP 2024-2030,2026-05,https://www.opr.ie/wp-content/uploads/2026/05/Letter-to-Sligo-CE-re-S.-31_1_May_2026.pdf
Sligo,Sligo County Development Plan 2024-2030,development_plan,statement_of_reasons,minister_declined,Minister’s Statement of Reasons Sligo CDP 2024-2030 (six parts),2026-05,https://www.opr.ie/wp-content/uploads/2026/05/Ministers-Statement-of-Reasons-Sligo-CDP-2024-2030-six-parts.pdf
South Dublin,South Dublin County Development Plan 2022-2028,development_plan,opr_proposed_draft,direction_issued,OPR Proposed draft Direction South Dublin CDP 2022-2028,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/1-OPR-Proposed-draft-Direction-South-Dublin-CDP-2022-2028.pdf
South Dublin,South Dublin County Development Plan 2022-2028,development_plan,minister_draft_direction,direction_issued,Minister’s draft Direction South Dublin CDP 2022-2028,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/2-Ministers-draft-Direction-South-Dublin-CDP-2022-2028.pdf
South Dublin,South Dublin County Development Plan 2022-2028,development_plan,opr_proposed_final,direction_issued,OPR Proposed Direction South Dublin CDP 2022-2028,2022-12,https://www.opr.ie/wp-content/uploads/2022/12/3-OPR-Proposed-Direction-South-Dublin-CDP-2022-2028.pdf
South Dublin,South Dublin County Development Plan 2022-2028,development_plan,minister_final_direction,direction_issued,Minister’s Direction South Dublin CDP 2022-2028,2022-12,https://www.opr.ie/wp-content/uploads/2022/12/4-Minitsers-Direction-South-Dublin-CDP-2022-2028-1.pdf
Westmeath,Westmeath County Development Plan 2021-2027,development_plan,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Westmeath CDP 2021-2027,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/1-OPR-Proposed-draft-Direction-Westmeath-CDP-2021-2027.pdf
Westmeath,Westmeath County Development Plan 2021-2027,development_plan,minister_draft_direction,direction_issued,Minister’s-draft-Direction-Westmeath-CDP-2021-2027,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/2-Ministers-draft-Direction-Westmeath-CDP-2021-2027.pdf
Westmeath,Westmeath County Development Plan 2021-2027,development_plan,opr_proposed_final,direction_issued,OPR Proposed Direction Westmeath CDP 2021-2027,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/3-OPR-Proposed-Direction-Westmeath-CDP-2021-2027.pdf
Westmeath,Westmeath County Development Plan 2021-2027,development_plan,minister_final_direction,direction_issued,Minister’s Direction Westmeath CDP 2021-2027,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/4-Ministers-Direction-Westmeath-CDP-2021-2027.pdf
Westmeath,Westmeath County Development Plan 2021-2027,development_plan,statement_of_reasons,direction_issued,Minister’s Statement on Direction Westmeath CDP 2021-2027,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/5-Ministers-Statement-on-Direction-Westmeath-CDP-2021-2027.pdf
Wicklow,Wicklow County Development Plan 2022-2028,development_plan,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Wicklow CDP 2022-2028,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/1-OPR-Proposed-draft-Direction-Wicklow-CDP-2022-2028.pdf
Wicklow,Wicklow County Development Plan 2022-2028,development_plan,minister_draft_direction,direction_issued,Minister’s draft Direction Wicklow CDP 2022-2028,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/2-Ministers-draft-Direction-Wicklow-CDP-2022-2028.pdf
Wicklow,Wicklow County Development Plan 2022-2028,development_plan,opr_proposed_final,direction_issued,OPR Proposed Direction Wicklow CDP 2022-2028,2023-03,https://www.opr.ie/wp-content/uploads/2023/03/3-OPR-Proposed-Direction-Wicklow-CDP-2022-2028.pdf
Wicklow,Wicklow County Development Plan 2022-2028,development_plan,minister_final_direction,direction_issued,Minister’s Direction Wicklow CDP 2022-2028,2023-03,https://www.opr.ie/wp-content/uploads/2023/03/4-Ministers-Direction-Wicklow-CDP-2022-2028.pdf
Wicklow,Wicklow County Development Plan 2022-2028,development_plan,statement_of_reasons,direction_issued,Minister’s Statement of Reasons Direction Wicklow CDP 2022-2028,2023-03,https://www.opr.ie/wp-content/uploads/2023/03/5-Ministers-Statement-of-Reasons-Wicklow-CDP-2022-2028.pdf
Wicklow,Wicklow County Development Plan 2022-2028 (Variation No. 2),variation,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Variation 2 Wicklow CDP 2022-2028,2025-06,https://www.opr.ie/wp-content/uploads/2025/06/OPR-Proposed-draft-Direction-Variation-2-Wicklow-CDP-2022-2028.pdf
Wicklow,Wicklow County Development Plan 2022-2028 (Variation No. 2),variation,minister_draft_direction,direction_issued,Minister’s draft Direction Variation No. 2 Wicklow CDP 2022-2028,2025-06,https://www.opr.ie/wp-content/uploads/2025/06/2-Ministers-draft-Direction-Variation-No.-2-Wicklow-CDP-2022-2028.pdf
Wicklow,Wicklow County Development Plan 2022-2028 (Variation No. 2),variation,opr_proposed_final,direction_issued,OPR Proposed Direction Variation 2 Wicklow CDP 2022-2028,2025-10,https://www.opr.ie/wp-content/uploads/2025/10/1-OPR-Proposed-Direction-Variation-2-Wicklow-CDP-2022-2028-1.pdf
Wicklow,Wicklow County Development Plan 2022-2028 (Variation No. 2),variation,minister_final_direction,direction_issued,Minister’s Direction Variation No. 2 Wicklow CDP 2022-2028,2025-10,https://www.opr.ie/wp-content/uploads/2025/10/2-Ministers-Direction-Variation-No.-2-Wicklow-CDP-2022-2028.pdf
Wicklow,Wicklow Town-Rathnew Local Area Plan 2025-2031,local_area_plan,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Wicklow Town-Rathnew LAP 2025-2031,2025-06,https://www.opr.ie/wp-content/uploads/2025/06/OPR-Proposed-draft-Direction-Wicklow-Town-Rathnew-LAP-2025-2031.pdf
Wicklow,Wicklow Town-Rathnew Local Area Plan 2025-2031,local_area_plan,minister_draft_direction,direction_issued,Minister’s draft Direction Wicklow Town-Rathnew LAP 2025-2031,2025-06,https://www.opr.ie/wp-content/uploads/2025/06/2-Ministers-draft-Direction-Wicklow-Town-Rathnew-LAP-2025-2031-1.pdf
Wicklow,Wicklow Town-Rathnew Local Area Plan 2025-2031,local_area_plan,opr_proposed_final,direction_issued,OPR Proposed Direction Wicklow Town-Rathnew LAP 2025-2031,2025-10,https://www.opr.ie/wp-content/uploads/2025/10/1-OPR-Proposed-Direction-Wicklow-Town-Rathnew-LAP-2025-2031.pdf
Wicklow,Wicklow Town-Rathnew Local Area Plan 2025-2031,local_area_plan,minister_final_direction,direction_issued,Minister’s Direction Wicklow Town Rathnew LAP 2025-2031,2025-10,https://www.opr.ie/wp-content/uploads/2025/10/Ministers-Direction-Wicklow-Town-Rathnew-LAP-2025-2031.pdf
